timestamp,frame,dt,veh_x,veh_y,veh_yaw,speed,nozzle_x,nozzle_y,nozzle_edge_dist,poly_edge_dist,driving_offset,steer_filter,steer_cmd,throttle_cmd,brake_cmd,lateral_error,paint_state,painting_enabled,dash_phase,perception_mode,ai_edge_pts,gt_edge_pts,road_mask_ratio,poly_coeff_a,poly_coeff_b,poly_coeff_c,inference_time_ms,mask_iou,edge_dev_mean_px,edge_dev_median_px,edge_dev_max_px
1770790289.062803,83,0.255877,-246.947449,-11.717766,89.047249,2.356203,-248.947174,-11.684510,2.910376,5.044402,4.977763,0.150000,0.000000,0.000000,0.000000,0.044402,PAINTING,1,-1,AI,229,229,0.370042,0.001735,-0.034747,5.069404,-1.000000,0.926229,0.515284,0.000000,3.000000
1770790289.099160,84,0.033793,-246.946045,-11.636627,89.046082,2.356112,-248.945770,-11.603331,2.910621,5.065463,4.977086,0.150000,0.000000,0.000000,0.000000,0.065463,PAINTING,1,-1,AI,229,229,0.370042,0.001735,-0.034444,5.066647,-1.000000,0.926229,0.515284,0.000000,3.000000
1770790289.357671,85,0.035162,-246.935226,-11.005167,89.038185,2.355357,-248.934952,-10.971595,2.912092,5.065463,4.975150,0.150000,0.000000,0.000000,0.000000,0.065463,PAINTING,1,-1,AI,229,229,0.369554,0.001617,-0.028923,5.029828,20.740032,0.924062,0.528384,0.000000,3.000000
1770790289.387657,86,0.255992,-246.933914,-10.927243,89.037361,2.354951,-248.933640,-10.893642,2.912246,5.065463,4.974204,0.150000,0.000000,0.000000,0.000000,0.065463,PAINTING,1,-1,AI,229,229,0.369554,0.001587,-0.027882,5.022706,-1.000000,0.924062,0.528384,0.000000,3.000000
1770790289.422093,87,0.032973,-246.932510,-10.844436,89.036522,2.352183,-248.932220,-10.810805,2.912414,5.065463,4.973372,0.150000,0.000000,0.000000,0.000000,0.065463,PAINTING,1,-1,AI,229,229,0.369554,0.001587,-0.027604,5.020419,-1.000000,0.924062,0.528384,0.000000,3.000000
1770790289.722767,88,0.038048,-246.920135,-10.122943,89.030998,2.339472,-248.919846,-10.089120,2.923254,5.065463,4.972639,0.150000,0.000000,0.000000,0.000000,0.065463,PAINTING,1,-1,AI,229,229,0.370046,0.001439,-0.022264,4.986484,24.478436,0.925275,0.423581,0.000000,3.000000
1770790289.753900,89,0.293932,-246.920135,-10.122943,89.030998,2.339472,-248.919846,-10.089120,2.923254,5.047054,4.971995,0.150000,0.000000,0.000000,0.000000,0.047054,PAINTING,1,-1,AI,229,229,0.370046,0.001439,-0.022264,4.986484,-1.000000,0.925275,0.423581,0.000000,3.000000
1770790289.786489,90,0.033726,-246.918472,-10.027619,89.030838,2.342346,-248.918182,-9.993791,2.923331,5.026267,4.973195,0.150000,0.000000,0.000000,0.000000,0.026267,PAINTING,1,-1,AI,229,229,0.370046,0.001439,-0.021986,4.984425,-1.000000,0.925275,0.423581,0.000000,3.000000
1770790290.057337,91,0.032723,-246.907532,-9.387198,89.031296,2.340153,-248.907242,-9.353386,2.931968,5.021562,4.975584,0.150000,0.000000,0.000000,0.000000,0.021562,PAINTING,1,-1,AI,229,229,0.368786,0.001635,-0.025451,5.006582,22.981167,0.921107,0.510917,0.000000,4.000000
1770790290.091635,92,0.272226,-246.906128,-9.302453,89.031708,2.339837,-248.905838,-9.268655,2.931876,5.013500,4.977389,0.150000,0.000000,0.000000,0.000000,0.013500,PAINTING,1,-1,AI,229,229,0.368786,0.001608,-0.024489,5.000048,-1.000000,0.921107,0.510917,0.000000,4.000000
1770790290.126772,93,0.032347,-246.904572,-9.206800,89.032471,2.345840,-248.904282,-9.173028,2.931692,5.003315,4.979583,0.150000,0.000000,0.000000,0.000000,0.003315,PAINTING,1,-1,AI,229,229,0.368786,0.001608,-0.024195,4.997661,-1.000000,0.921107,0.510917,0.000000,4.000000
1770790290.396263,94,0.034798,-246.894012,-8.566474,89.037949,2.351691,-248.893738,-8.532893,2.944995,5.000648,4.982201,0.150000,0.000000,0.000000,0.000000,0.000648,PAINTING,1,-1,AI,229,229,0.371138,0.001573,-0.023212,5.001249,22.163391,0.926189,0.475983,0.000000,4.000000
1770790290.427404,95,0.268694,-246.892532,-8.476240,89.038490,2.346829,-248.892258,-8.442678,2.944857,4.999791,4.984394,0.150000,0.000000,0.000000,0.000000,-0.000209,PAINTING,1,-1,AI,229,229,0.371138,0.001575,-0.023002,4.999534,-1.000000,0.926189,0.475983,0.000000,4.000000
1770790290.460255,96,0.032755,-246.891129,-8.388320,89.038925,2.343384,-248.890854,-8.354774,2.944720,4.998597,4.986310,0.150000,0.000000,0.000000,0.000000,-0.001403,PAINTING,1,-1,AI,229,229,0.371138,0.001575,-0.022732,4.997453,-1.000000,0.926189,0.475983,0.000000,4.000000
1770790290.722118,97,0.033108,-246.881577,-7.802149,89.046104,2.348868,-248.881302,-7.768854,2.939769,4.997557,4.988080,0.150000,0.000000,0.000000,0.000000,-0.002443,PAINTING,1,-1,AI,229,229,0.372018,0.001149,-0.009119,4.906453,18.873930,0.927591,0.414847,0.000000,2.000000
1770790290.752155,98,0.258703,-246.880096,-7.711536,89.047012,2.341903,-248.879822,-7.678272,2.939600,4.997557,4.989694,0.150000,0.000000,0.000000,0.000000,-0.002443,PAINTING,1,-1,AI,229,229,0.372018,0.001114,-0.008023,4.899938,-1.000000,0.927591,0.414847,0.000000,2.000000
1770790290.785365,99,0.033566,-246.878830,-7.631400,89.047989,2.344569,-248.878555,-7.598170,2.939371,4.997557,4.991078,0.150000,0.000000,0.000000,0.000000,-0.002443,PAINTING,1,-1,AI,229,229,0.372018,0.001102,-0.007535,4.897199,-1.000000,0.927591,0.414847,0.000000,2.000000
